User_ID,Date,Step_Count,Heart_Rate,Sleep_Duration,Calories_Burned,Activity_Level,Device_Type
1,2023-01-21,5303.0,58.0,8.6,2305.0,Lightly Active,Apple Watch
1,2023-01-22,4598.0,57.0,9.5,2154.0,Sedentary,Apple Watch
1,2023-01-23,4371.0,65.0,7.5,1907.0,Sedentary,Apple Watch
1,2023-01-24,5057.0,40.0,6.2,1888.0,Lightly Active,Apple Watch
1,2023-01-25,3846.0,63.0,7.1,1718.0,Sedentary,Apple Watch
1,2023-01-26,6238.0,57.0,8.0,1715.0,Lightly Active,Apple Watch
1,2023-01-27,4298.0,61.0,6.8,2076.0,Sedentary,Apple Watch
1,2023-01-28,4244.0,57.0,7.4,2371.0,Sedentary,Apple Watch
1,2023-01-29,4810.0,49.0,8.8,1756.0,Sedentary,Apple Watch
1,2023-01-30,5025.0,40.0,6.6,2040.0,Lightly Active,Apple Watch
1,2023-01-31,5536.0,61.0,7.9,1940.0,Lightly Active,Apple Watch
1,2023-02-01,3397.0,52.0,7.5,2212.0,Sedentary,Apple Watch
1,2023-02-02,5155.0,42.0,8.3,1923.0,Lightly Active,Apple Watch
1,2023-02-03,4170.0,66.0,9.0,2187.0,Sedentary,Apple Watch
1,2023-02-04,4014.0,56.0,8.3,2196.0,Sedentary,Apple Watch
1,2023-02-05,4361.0,58.0,6.9,1761.0,Sedentary,Apple Watch
1,2023-02-06,5607.0,73.0,7.9,2201.0,Lightly Active,Apple Watch
1,2023-02-07,5172.0,53.0,8.3,2308.0,Lightly Active,Apple Watch
1,2023-02-08,4789.0,75.0,5.3,2165.0,Sedentary,Apple Watch
1,2023-02-09,4907.0,57.0,8.1,1603.0,Sedentary,Apple Watch
1,2023-02-10,4612.0,63.0,9.4,1897.0,Sedentary,Apple Watch
1,2023-02-11,4043.0,54.0,8.9,2066.0,Sedentary,Apple Watch
1,2023-02-12,4312.0,65.0,8.1,2194.0,Sedentary,Apple Watch
1,2023-02-13,4146.0,56.0,7.6,1708.0,Sedentary,Apple Watch
1,2023-02-14,5109.0,62.0,8.0,1954.0,Lightly Active,Apple Watch
1,2023-02-15,3458.0,55.0,7.6,1840.0,Sedentary,Apple Watch
1,2023-02-16,4668.0,64.0,9.9,2035.0,Sedentary,Apple Watch
1,2023-02-17,5072.0,59.0,6.0,1995.0,Lightly Active,Apple Watch
1,2023-02-18,4882.0,84.0,7.8,2061.0,Sedentary,Apple Watch
1,2023-02-19,4790.0,48.0,9.1,2151.0,Sedentary,Apple Watch
2,2023-01-05,5419.0,71.0,9.4,2249.0,Lightly Active,fitbit
2,2023-01-06,5228.0,102.0,7.0,2467.0,Lightly Active,fitbit
